iter	Passed	Remaining
399	40186	10046
400	40280	9944
401	40369	9841
402	40463	9739
403	40566	9639
404	40654	9536
405	40751	9435
406	40846	9333
407	40949	9233
408	41045	9132
409	41141	9031
410	41241	8930
411	41332	8828
412	41423	8725
413	41528	8626
414	41656	8532
415	41779	8436
416	41879	8335
417	41976	8234
418	42066	8132
419	42158	8030
420	42267	7931
421	42370	7831
422	42468	7730
423	42566	7629
424	42669	7529
425	42780	7431
426	42878	7330
427	42972	7229
428	43070	7128
429	43178	7029
430	43267	6926
431	43362	6825
432	43462	6725
433	43565	6625
434	43677	6526
435	43787	6427
436	43885	6326
437	43982	6225
438	44113	6129
439	44229	6031
440	44335	5931
441	44458	5833
442	44566	5734
443	44680	5635
444	44782	5534
445	44888	5434
446	45019	5337
447	45158	5241
448	45258	5140
449	45361	5040
450	45459	4939
451	45570	4839
452	45694	4740
453	45798	4640
454	45907	4540
455	46020	4440
456	46122	4339
457	46225	4239
458	46325	4138
459	46451	4039
460	46539	3937
461	46663	3838
462	46758	3736
463	46891	3638
464	47007	3538
465	47115	3437
466	47223	3336
467	47329	3236
468	47434	3135
469	47552	3035
470	47688	2936
471	47794	2835
472	47924	2735
473	48035	2634
474	48163	2534
475	48280	2434
476	48383	2332
477	48488	2231
478	48596	2130
479	48691	2028
480	48793	1927
481	48899	1826
482	49029	1725
483	49122	1623
484	49257	1523
485	49364	1422
486	49473	1320
487	49624	1220
488	49722	1118
489	49824	1016
490	49937	915
491	50045	813
492	50172	712
493	50319	611
494	50425	509
495	50546	407
496	50671	305
497	50773	203
498	50878	101
499	50985	0
