iter	MultiRMSE
200	4.518581167
201	4.517394934
202	4.515027429
203	4.510875042
204	4.509779259
205	4.508473788
206	4.505997505
207	4.503762955
208	4.501735389
209	4.500642669
210	4.49926804
211	4.496945342
212	4.49569527
213	4.494234133
214	4.492004213
215	4.490457361
216	4.487408811
217	4.483413068
218	4.481322237
219	4.480070121
220	4.478955875
221	4.477025445
222	4.475941396
223	4.473074366
224	4.471999568
225	4.470920103
226	4.469632682
227	4.466156377
228	4.463263194
229	4.462075144
230	4.461065409
231	4.45912329
232	4.458121862
233	4.457260066
234	4.455932712
235	4.454730342
236	4.454055608
237	4.45321972
238	4.452029294
239	4.451085507
240	4.449938959
241	4.44562337
242	4.441421167
243	4.44081785
244	4.440019717
245	4.436137451
246	4.435097001
247	4.433386996
248	4.432315662
249	4.43178369
250	4.430500205
251	4.429012818
252	4.428184544
253	4.427468461
254	4.426413932
255	4.424376919
256	4.423207579
257	4.421924751
258	4.418971016
259	4.415807574
260	4.414537707
261	4.413590091
262	4.412860788
263	4.412124797
264	4.409399924
265	4.408688384
266	4.407556379
267	4.406857925
268	4.404717548
269	4.404300189
270	4.40299637
271	4.401657892
272	4.39994807
273	4.397804626
274	4.3970148
275	4.394692382
276	4.39381362
277	4.392660348
278	4.392069896
279	4.391245669
280	4.389520576
281	4.389123616
282	4.38775258
283	4.38632145
284	4.384053544
285	4.383209891
286	4.380100732
287	4.379387192
288	4.378721531
289	4.377536995
290	4.376098069
291	4.375736137
292	4.37372974
293	4.373180544
294	4.370958169
295	4.37054999
296	4.368749296
297	4.367486211
298	4.366701694
299	4.366323841
300	4.36504993
301	4.363354379
302	4.362534692
303	4.360546832
304	4.3597218
305	4.35903798
306	4.35878591
307	4.357062735
308	4.356034162
309	4.355170538
310	4.353281359
311	4.352625284
312	4.351785391
313	4.350026303
314	4.349187097
315	4.347629297
316	4.346120275
317	4.345620726
318	4.345193566
319	4.344202192
320	4.34279674
321	4.341887309
322	4.341099615
323	4.34005244
324	4.339426557
325	4.338934032
326	4.338403562
327	4.337777021
328	4.337138035
329	4.335369346
330	4.334505022
331	4.333110912
332	4.33264828
333	4.331737725
334	4.330503236
335	4.329197819
336	4.328013897
337	4.327149939
338	4.326732838
339	4.325683368
340	4.325206632
341	4.322967273
342	4.321238384
343	4.320161465
344	4.319031873
345	4.31783638
346	4.317156438
347	4.316577405
348	4.316151918
349	4.313714707
350	4.311714598
351	4.310417756
352	4.309381531
353	4.308203964
354	4.306275698
355	4.305249921
356	4.304267232
357	4.303543
358	4.301008427
359	4.299238666
360	4.298334766
361	4.297865735
362	4.297304384
363	4.296230361
364	4.292366531
365	4.291653418
366	4.290751485
367	4.289868743
368	4.289292711
369	4.287957993
370	4.286202208
371	4.28544497
372	4.283064686
373	4.282011062
374	4.280542978
375	4.279929819
376	4.279665464
377	4.278783278
378	4.27853665
379	4.276803837
380	4.275909222
381	4.275063606
382	4.274425148
383	4.273538725
384	4.272471728
385	4.271652753
386	4.270767181
387	4.270119617
388	4.268951844
389	4.268315415
390	4.267203986
391	4.265951839
392	4.265279299
393	4.264011963
394	4.263414357
395	4.262523479
396	4.261254202
397	4.258920609
398	4.257898201
399	4.257147095
400	4.256460447
401	4.255820137
402	4.254898772
403	4.25465587
404	4.253779054
405	4.251893574
406	4.25122749
407	4.249983269
408	4.249242004
409	4.248839953
410	4.247734096
411	4.247191971
412	4.246294792
413	4.245455342
414	4.243730814
415	4.242417361
416	4.240885958
417	4.239283713
418	4.238887723
419	4.238778808
420	4.23809754
421	4.237249279
422	4.236685571
423	4.235822904
424	4.234579679
425	4.234150121
426	4.232784562
427	4.231862062
428	4.231331551
429	4.230456336
430	4.229950975
431	4.229008306
432	4.228327115
433	4.226795264
434	4.226135371
435	4.225057072
436	4.223832171
437	4.223704243
438	4.222883058
439	4.222319591
440	4.22146399
441	4.220621232
442	4.219533047
443	4.218597716
444	4.218286329
445	4.218122357
446	4.217200917
447	4.216672691
448	4.215286551
449	4.214517952
450	4.213391082
451	4.212027885
452	4.211566046
453	4.210335096
454	4.209946996
455	4.207748391
456	4.206602309
457	4.205897339
458	4.205257548
459	4.204341368
460	4.203637089
461	4.201914547
462	4.200479262
463	4.199585519
464	4.198738043
465	4.198010133
466	4.197094047
467	4.19588424
468	4.194839894
469	4.194515179
470	4.19387183
471	4.193304669
472	4.192437442
473	4.191553085
474	4.190262244
475	4.189448429
476	4.188175411
477	4.186392371
478	4.185721083
479	4.185506054
480	4.184985486
481	4.184067875
482	4.183505142
483	4.182391976
484	4.181864076
485	4.181297825
486	4.180354804
487	4.179492693
488	4.178723803
489	4.178258895
490	4.177737474
491	4.177131257
492	4.175851708
493	4.17466608
494	4.174350505
495	4.173962128
496	4.173506818
497	4.172640461
498	4.172130232
499	4.171595767
